"Relevant","abstract","abstract","0","10.1099/ijsem.0.003263","gastrodia elata blume",NA,"tubers","present","unknown","isolated from tubers of gastrodia elata blume; but no mention of fungal interaction.","not specified","not specified","abstract-csv","doi_10.1099_ijsem.0.003263","Abstract"
"Relevant","full-text","full-text","20","10.1371/journal.pone.0211271","dioon species","nostoc spp","coralloid roots","present","endophytic","inhabiting coralloid roots; possibly entering through lenticel cells","not specified","mexico (sampled species) and asia (mentioned in previous studies)","full-text","doi_10.1371_journal.pone.0211271","Full-Text"
"Relevant","full-text","full-text","20","10.1371/journal.pone.0211271","dioon species","calothrix spp","coralloid roots","present","endophytic","inhabiting coralloid roots; possibly entering through lenticel cells","not specified","mexico (sampled species) and asia (mentioned in previous studies)","full-text","doi_10.1371_journal.pone.0211271","Full-Text"
"Relevant","abstract","abstract","0","10.1021/acs.orglett.8b04107","rhizophora (not specified)","cytospora rhizophorae a761","endophytic fungus","present","endophytic","isolated from endophytic fungus cytospora rhizophorae a761","","","abstract-csv","doi_10.1021_acs.orglett.8b04107","Abstract"
"Relevant","abstract","abstract","0","10.3390/ijms20020332","arabidopsis thaliana","biocontrol fungi","root","present","unknown (may be biocontrol agents or endophytes)","chitosan induces auxin accumulation in roots and blocks auxin translocation. endophytes and fungal pathogens evade plant immunity by converting chitin into chitosan.","","","abstract-csv","doi_10.3390_ijms20020332","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.virusres.2019.01.006","alternaria alternata","alternaria alternata botybirnavirus 1","","present","unknown","infecting a pakistani strain of alternaria alternata.","not specified","pakistan","abstract-csv","doi_10.1016_j.virusres.2019.01.006","Abstract"
"Relevant","full-text","full-text","17","10.1371/journal.pone.0210542","solanum tuberosum (potato)","not mentioned","peel and pulp","present","endophytic","studied as part of the microbiome in root vegetables","leptosol soil (lp)","estonia","full-text","doi_10.1371_journal.pone.0210542","Full-Text"
"Relevant","abstract","abstract","0","10.1128/aem.02586-18","setaria viridis","herbaspirillum seropedicae","root","present","endophytic","established endophytic association; mutants defective in phb production and mobilization were tested for comparison.","not specified","not specified","abstract-csv","doi_10.1128_aem.02586-18","Abstract"
"Relevant","abstract","abstract","0","10.3390/toxins11010016","lolium perenne l.","epichlo? festucae var. lolii","seeds","present","endophytic","infected seeds used for isolation of indole diterpenes.","","","abstract-csv","doi_10.3390_toxins11010016","Abstract"
"Relevant","abstract","abstract","0","10.1021/acs.joc.8b02830","not specified in the text","emericella sp. tj29","not specified in the text","present","endophytic","isolated from emericella sp. tj29","","","abstract-csv","doi_10.1021_acs.joc.8b02830","Abstract"
"Relevant","abstract","abstract","0","10.1080/14786419.2018.1544974","cordyceps sinensis","penicillium herquei","fruiting body","present","endophytic","isolated from fruiting body of cordyceps sinensis","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1080_14786419.2018.1544974","Abstract"
"Relevant","abstract","abstract","0","10.1080/14786419.2018.1539977","pogostemon cablin","cerrena sp. a593","not specified","present","endophytic","isolated from pogostemon cablin","not specified","not specified","abstract-csv","doi_10.1080_14786419.2018.1539977","Abstract"
"Relevant","abstract","abstract","0","10.1007/s00284-018-1614-x","chiliadenus montanus",NA,"not specified","present","unknown","the endophytic bacterium lysinibacillus xylanilyticus was isolated from the medicinal plant chiliadenus montanus; saint catherine (sinai) region","egypt","egypt","abstract-csv","doi_10.1007_s00284-018-1614-x","Abstract"
"Relevant","abstract","abstract","0","10.3767/persoonia.2019.43.04","unknown","neocosmospora","unknown","present","saprophytic","endophytic; pathogenic; the text mentions the genus neocosmospora is found in various roles as saprobes; plant endophytes; and pathogens.","unknown","unknown","abstract-csv","doi_10.3767_persoonia.2019.43.04","Abstract"
"Relevant","abstract","abstract","0","10.3767/persoonia.2019.43.02","musa acuminata (banana)","fusarium species","not specified","present","pathogenic","endophytic; or unknown; associated with fusarium wilt of banana in indonesia. isolated from fusarium oxysporum species complex (fosc); fusarium fujikuroi species complex (ffsc); fusarium incarnatum-equiseti species complex (fiesc) and the fusarium sambucinum species complex (fssc)","not specified","indonesia","abstract-csv","doi_10.3767_persoonia.2019.43.02","Abstract"
"Relevant","abstract","abstract","0","10.3390/molecules23123218","eucalyptus exserta","chaetomium sp. eef-10","not specified","present","endophytic","isolated from eucalyptus exserta","not specified","not specified","abstract-csv","doi_10.3390_molecules23123218","Abstract"
"Relevant","full-text","full-text","15","10.1371/journal.pone.0209091","psychotria punctata (rubiaceae)","candidatus burkholderia kirkii","leaves","vegetative and flower buds","anthers","gynoecium; embryos; young twigs; roots; present; endophytic; isolated from various plant structures including seeds and demonstrated vertical transmission in the leaf nodule symbiosis.; not specified; belgium","netherlands","norway","full-text","doi_10.1371_journal.pone.0209091","Full-Text"
"Relevant","full-text","full-text","19","10.1371/journal.pone.0207863","saccharum officinarum (sugarcane)","paraburkholderia tropica strain ppe8","apoplast fluid","present","endophytic","isolated from sugarcane; part of the recommended inoculant for sugarcane.","agricultural field","brazil","full-text","doi_10.1371_journal.pone.0207863","Full-Text"
"Relevant","abstract","abstract","0","10.1111/1744-7917.12654","citrus sp.","bacillus thuringiensis","seedling roots and shoots","present","biocontrol agent","isolated from young citrus shoots and dead nymphs; systemic pathogenicity to d. citri nymphs demonstrated.","not specified in text","not specified in text","abstract-csv","doi_10.1111_1744-7917.12654","Abstract"
"Relevant","abstract","abstract","0","10.1093/gbe/evy266","cycads (family: zamiaceae)","bradyrhizobium","coralloid roots","present","endophytic","isolated from coralloid roots of species from dioon in their natural habitats; co-culture experimental strategy used to reveal both predominant and rare bacteria.","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1093_gbe_evy266","Abstract"
"Relevant","abstract","abstract","0","10.1093/gbe/evy266","cycads (family: zamiaceae)","burkholderia","coralloid roots","present","endophytic","isolated from coralloid roots of species from dioon in their natural habitats; co-culture experimental strategy used to reveal both predominant and rare bacteria.","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1093_gbe_evy266","Abstract"
"Relevant","abstract","abstract","0","10.1093/gbe/evy266","cycads (family: zamiaceae)","mesorhizobium","coralloid roots","present","endophytic","isolated from coralloid roots of species from dioon in their natural habitats; co-culture experimental strategy used to reveal both predominant and rare bacteria.","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1093_gbe_evy266","Abstract"
"Relevant","abstract","abstract","0","10.1093/gbe/evy266","cycads (family: zamiaceae)","rhizobium","coralloid roots","present","endophytic","isolated from coralloid roots of species from dioon in their natural habitats; co-culture experimental strategy used to reveal both predominant and rare bacteria.","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1093_gbe_evy266","Abstract"
"Relevant","abstract","abstract","0","10.1093/gbe/evy266","cycads (family: zamiaceae)","nostoc","coralloid roots","present","endophytic","isolated from coralloid roots of species from dioon in their natural habitats; co-culture experimental strategy used to reveal both predominant and rare bacteria.","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1093_gbe_evy266","Abstract"
"Relevant","abstract","abstract","0","10.1080/00275514.2018.1533772","juniperus communis (rocky mountain juniper)","morchella hispaniolensis","not specified","present","endophytic","isolated as an endophyte of rocky mountain juniper.; mountain biomes (rockies)","dominican republic","arizona (usa)","abstract-csv","doi_10.1080_00275514.2018.1533772","Abstract"
