row_index,paper_id,interaction_id,field_name,raw_token,cleaned_token,resolution_method,is_ambiguous,ambiguity_count,confidence
3,doi:10.1007/bf02980298,int_ba782b2f5333cf94,plant_host,cv. tioga),cv. tioga,no_match,False,0,0.00
4,doi:10.1080/09670877709412477,int_9120ffc00c840803,fungal_taxon,not mentioned (nematode,not mentioned,empty,False,0,0.00
5,doi:10.1080/09670877709412477,int_1788e46412e08fe9,fungal_taxon,ditylenchus angustus is not a fungus),ditylenchus angustus,no_match,False,0,0.00
10,doi:10.1071/ea9720185,int_8c226843bbc8ab85,fungal_taxon,gloesporium musarum,gloesporium musarum,no_match,False,0,0.00
12,doi:10.1002/ps.2780070409,int_0e8e98ec397519dd,fungal_taxon,target fungus (unspecified),target,no_match,False,0,0.00
12,doi:10.1002/ps.2780070409,int_0e8e98ec397519dd,plant_host,higher plants,higher,no_match,False,0,0.00
22,doi:10.1007/bf01976954,int_bd2d7ca323797bbb,fungal_taxon,schimmels (fungi),schimmels,no_match,False,0,0.00
24,doi:10.1016/0048-3575(75)90058-9,int_980522d0a4ab938f,fungal_taxon,cryptococcus laurentii,cryptococcus laurentii,no_match,False,0,0.00
25,doi:10.1111/j.1365-3059.1972.tb01745.x,int_32cae7064a659114,plant_host,aphis gossypii,aphis gossypii,no_match,False,0,0.00
26,doi:10.1002/ps.2780050302,int_07ba92655564cd79,fungal_taxon,not_mentioned,not mentioned,empty,False,0,0.00
26,doi:10.1002/ps.2780050302,int_07ba92655564cd79,plant_host,not_mentioned,not mentioned,empty,False,0,0.00
27,doi:10.1111/j.1365-2338.1973.tb02093.x,int_7563d3c0add962ca,fungal_taxon,benomyl,benomyl,no_match,False,0,0.00
32,doi:10.1021/jf60188a048,int_277b558e0e489efe,fungal_taxon,no fungus mentioned,no,no_match,False,0,0.00
32,doi:10.1021/jf60188a048,int_277b558e0e489efe,plant_host,no plant host mentioned,no,no_match,False,0,0.00
35,doi:10.1111/j.1744-7348.1973.tb07301.x,int_1fa025c44c9c0260,plant_host,specifically cox's orange pippin,specifically cox,no_match,False,0,0.00
36,doi:10.1111/j.1744-7348.1973.tb07301.x,int_e5b31042adb3e9b5,plant_host,golden delicious,golden delicious,no_match,False,0,0.00
36,doi:10.1111/j.1744-7348.1973.tb07301.x,int_e5b31042adb3e9b5,plant_host,jonathan),jonathan,no_match,False,0,0.00
37,doi:10.1016/0048-4059(75)90088-0,int_34e8d93a78a80973,fungal_taxon,vesicular-arbuscular mycorrhizal fungi,vesicular-arbuscular mycorrhizal,descriptor_non_taxon,False,0,0.00
38,doi:10.1111/j.1744-7348.1975.tb01531.x,int_02c8556dffcac927,fungal_taxon,oidium rosae (powdery mildew),oidium rosae,no_match,False,0,0.00
40,doi:10.1080/00288233.1975.10421059,int_76c42543f7e01bd3,fungal_taxon,'glomus fasciculatus',glomus fasciculatus,no_match,False,0,0.00
43,doi:10.1080/00288233.1975.10421059,int_61efdb724f966eae,fungal_taxon,'glomus fasciculatus',glomus fasciculatus,no_match,False,0,0.00
46,doi:10.1080/09670877209413455,int_a7e1b0a9cc98895a,fungal_taxon,powdery mildews,powdery mildews,no_match,False,0,0.00
