,label,abstract,authors,book_authors,book_editors,book_group_authors,author_full_names,book_author_full_names,article_title,source_title,book_series_title,book_series_subtitle,language,document_type,conference_title,conference_date,conference_location,conference_sponsor,conference_host,author_keywords,keywords_plus,addresses,affiliations,reprint_addresses,email_addresses,researcher_ids,orci_ds,funding_orgs,funding_name_preferred,funding_text,cited_references,cited_reference_count,times_cited_wo_s_core,times_cited_all_databases,x180_day_usage_count,since_2013_usage_count,publisher,publisher_city,publisher_address,issn,e_issn,isbn,journal_abbreviation,journal_iso_abbreviation,publication_date,publication_year,volume,issue,supplement,special_issue,meeting_abstract,start_page,end_page,article_number,doi,doi_link,book_doi,early_access_date,number_of_pages,wo_s_categories,research_areas,ids_number,pubmed_id,open_access_designations,highly_cited_status,hot_paper_status,date_of_export,ut_unique_wos_id,web_of_science_record,id,predicted_label
1,Presence,"Endophytic fungi have roles to protect the plant from herbivorous insects and diseases, and to support the absorption process of nutrients needed by plants for photosynthesis. Related to the important role of endophytic fungi, research was aimed to identify fungal endophytes associated with young, mature and old leaves on apple and to evaluate the effect of leaf ages on the abundance and diversity of endophytic fungi. The research was conducted in Biological Control Laboratory, Department of Plant Pests and Diseases, Faculty of Agriculture, Universitas Brawijaya from May to September 2016. Apple leaves sampling was done diagonally, and taken from nine apple trees. Based on macroscopic and microscopic characteristics, 38 isolates were identified. In the old apple leaves, it obtained 17 isolates that consisted of 5 genera, mature leaves obtained 14 isolates consisted of 6 genera, and young leaves 7 isolates obtained consists of 2 genera. The mature leaves have highest abundance and diversity of endophytic fungi compared to young and old leaves. Endophytic fungi apple leaf dominated by Aspergillus. Mature and young leaves were different from old one based on Bray-Curtis similarity.","Afandhi, A; Choliq, FA; Anggrilika, WSH; Tarno, H",NA,NA,NA,"Afandhi, Aminudin; Choliq, Fery Abdul; Anggrilika, Havinda W. S.; Tarno, Hagus",NA,Distribution of the Endophytic Fungi in Apple Leaves,AGRIVITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tarno, Hagus/AAN-7792-2021; Tarno, Hagus/ABA-5887-2020; Afandhi, Aminudin/JLM-8145-2023","Tarno, Hagus/0000-0003-0997-5843; Tarno, Hagus/0000-0003-0997-5843; Afandhi, Aminudin/0000-0003-4593-3413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0126-0537,NA,NA,NA,NA,FEB,2018,40,1,NA,NA,NA,91,100,NA,10.17503/agrivita.v40i1.1563,http://dx.doi.org/10.17503/agrivita.v40i1.1563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000425246100011,View Full Record in Web of Science,1,NA
2,Review,"A number of antitumoral natural products have been isolated from endophytic fungi with diverse structures. Progress in various studies on antitumoral components is summarized, including the host plants of these endophytic fungi, the isolation and characterization of terpenoids, alkaloids, flavonoids, esters and steroids, and their inhibitory effects against tumor cells. In addition, the chemical ecology relationships between the endophytic fungi and their host plants are also briefly discussed.","Ma, YM; Feng, CL",NA,NA,NA,"Ma, Yang-Min; Feng, Cheng-Liang",NA,Progress in the Studies on Antitumoral Natural Products from Endophytic Fungi,CHINESE JOURNAL OF ORGANIC CHEMISTRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0253-2786,NA,NA,NA,NA,OCT,2008,28,10,NA,NA,NA,1697,1706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000260865100004,View Full Record in Web of Science,2,NA
3,Presence,"A study was conducted for isolation, identification and antibacterial potential of fungal endophytes of Adenocalymma alliaceum Miers., (Bignoniaceae), a medicinal shrub vine plant which has long history for its usages in curing various disorders. A total of 149 isolates of endophytic fungi representing 17 fungal taxa were obtained from 270 segments (90 from each stem, leaf and petiole) of this plant. Hyphomycetes (77.85%) were the most prevalent, followed by Ascomycetes (8.05%) and Coelomycetes (4.03%) respectively. A considerable amount of fungal isolates was kept under (10.07%) Mycelia-Sterilia (MS). Leaf harboured maximum colonization of endophytic fungi (72.22%) which was greater than stem (67.78%) and petiole (25.54%). The Jc similarity index was maximum (0.619) between stem vs leaf followed by leaf vs petiole (0.571) and stem vs petiole (0.428). The dominant endophytic fungi were Alternaria alternata, Aspergillus niger, Stenella agalis, Fusarium oxysporum, Curvularia lunata and Fusarium roseum. Among twelve endophytic fungi tested for antibacterial activity, crude extracts of nine endophytic fungi (75%), showed antibacterial potential against one or more clinical human pathogens. Alternaria alternata, Curvularia lunata, Penicillium sp. and Chaetomium globosum exhibited significant antibacterial activity against 4 of 5 tested pathogens, showing broad spectrum activity. This investigation explains the value of sampling from different tissues of a host plant for the greater species diversity, and additionally, the antibacterial screening of some endophytic fungi from this specific medicinal plant may represent a unique source for many of the useful antibacterial compounds.","Kharwar, RN; Verma, SK; Mishra, A; Gond, SK; Sharma, VK; Afreen, T; Kumar, A",NA,NA,NA,"Kharwar, Ravindra N.; Verma, Satish K.; Mishra, Ashish; Gond, Surendra K.; Sharma, Vijay K.; Afreen, Talat; Kumar, Anuj",NA,"Assessment of diversity, distribution and antibacterial activity of endophytic fungi isolated from a medicinal plant Adenocalymma alliaceum Miers",SYMBIOSIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sharma, Vijay Kumar K/E-3541-2019; Gond, Surendra/ABB-6182-2021; Sharma, Vijay Kumar/J-5353-2019; Verma, Satish K./J-6398-2019","Sharma, Vijay Kumar K/0000-0002-2330-5830; Verma, Satish Kumar/0000-0003-4470-5398; Gond, Surendra/0000-0002-2737-9028; Afreen, Talat/0000-0003-3801-403X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0334-5114,1878-7665,NA,NA,NA,AUG,2011,55,1,NA,NA,NA,39,46,NA,10.1007/s13199-011-0142-2,http://dx.doi.org/10.1007/s13199-011-0142-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000298499300005,View Full Record in Web of Science,3,NA
4,Presence,"The manner in which fungal endophytes activate host stress response systems is unknown; the occurrence of additional mechanisms involved in symbiotically-conferred stress tolerance in mangrove plants (the primary producers of estuarine food chain) is also an unresolved issue. Here, we report antioxidant potentials of four different mangroves and their endophytic fungi. We elucidated the possible roles of antioxidants in symbiotic association between mangroves and their endophytic fungi. Four different mangrove species and the predominant endophytic fungus Aspergillus flavus were analyzed using various in vitro assay systems (such as iron chelating capacity, reducing power, and hydroxyl radicals/hydrogen peroxide/1-diphenyl-2-picrylhydrazyl radical scavenging and inhibition of lipid peroxidation using the beta-carotene-linoleate model system). In vitro models clearly established the antioxidant potency of extracts of mangrove plants and their respective endophytic fungi, which aids in understanding the mutualistic associations of plant and endophyte against various biotic and abiotic stresses. Re-infection analysis of endophytic A. flavus in tobacco plants confirmed the endophytic status of the fungus and its enhancement effect on plant growth.","Ravindran, C; Naveenan, T; Varatharajan, GR; Rajasabapathy, R; Meena, RM",NA,NA,NA,"Ravindran, Chinnarajan; Naveenan, Thangaiah; Varatharajan, Govindaswamy R.; Rajasabapathy, Raju; Meena, Ram Murthi",NA,Antioxidants in mangrove plants and endophytic fungal associations,BOTANICA MARINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rajasabapathy, Raju/HHN-6549-2022","Rajasabapathy, Raju/0000-0002-0304-870X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0006-8055,1437-4323,NA,NA,NA,JUN,2012,55,3,NA,NA,NA,269,279,NA,10.1515/bot-2011-0095,http://dx.doi.org/10.1515/bot-2011-0095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000306458300008,View Full Record in Web of Science,4,NA
5,Presence,"Endophytic Fungi residing in medicinal plants have not been systematically characterized. In this study, we classified 1160 fungal isolates from 29 medicinal plant species using traditional morphological methods. The colonization rate, isolation rate, and relative frequency of these endophytes were investigated. The relationship between the composition of endophytic fungi and the chemical constituents of host plants was also explored for the first time. The results showed that endophytic fungi from these medicinal plants exhibited high biodiversity, host-recurrence, tissue-specificity, and spatial heterogeneity. Taxa of,Alternaria, Colletotrichum, Phoma, Phomopsis, Xylariales, and mycelia sterilia were the dominant fungal endophytes. Some phenolic compounds were found to more likely coexist with certain endophytic fungi in the same plants. Our systematic investigation reveals that traditional medicinal plants are a rich and reliable source of novel endophytic fungi. This study was the first step towards Understanding host-endophyte relationships based on the plant chemistry.","Huang, WY; Cai, YZ; Hyde, KD; Corke, H; Sun, M",NA,NA,NA,"Huang, W. Y.; Cai, Y. Z.; Hyde, K. D.; Corke, H.; Sun, M.",NA,Biodiversity of endophytic fungi associated with 29 traditional Chinese medicinal plants,FUNGAL DIVERSITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUANG, Wuyang/ABH-5066-2020; Hyde, Kevin D/F-7890-2010; Sun, Mei/D-3124-2009; Corke, Harold/D-3068-2009; Cai, Yi-Zhong/B-9774-2009","HUANG, Wuyang/0000-0002-3038-0636; Corke, Harold/0000-0001-7709-0129;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1560-2745,1878-9129,NA,NA,NA,45626,2008,33,NA,NA,NA,NA,61,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000263505400003,View Full Record in Web of Science,5,NA
6,Review,"The purpose of this systematic review was to identify the available literature of production, purification, and characterization of proteases by endophytic fungi. There are few complete studies that entirely exhibit the production, characterization, and purification of proteases from endophytic fungi. This study followed the PRISMA, and the search was conducted on five databases: PubMed, PMC, Science Direct, Scopus Articles, and Web of Science up until 18 May 2021, with no time or language restrictions. The methodology of the selected studies was evaluated using GRADE. Protease production, optimization, purification, and characterization were the main evaluated outcomes. Of the 5540 initially gathered studies, 15 met the inclusion criteria after a two-step selection process. Only two studies optimized the protease production using statistical design and two reported enzyme purification and characterization. The genus Penicillium and Aspergillus were the most cited among the eleven different genera of endophytic fungi evaluated in the selected articles. Six studies proved the ability of some endophytic fungi to produce fibrinolytic proteases, demonstrating that endophytic fungi can be exploited for the further production of agents used in thrombolytic therapy. However, further characterization and physicochemical studies are required to evaluate the real potential of endophytic fungi as sources of industrial enzymes.","Bezerra, VHS; Cardoso, SL; Fonseca-Bazzo, Y; Silveira, D; Magalhaes, PO; Souza, PM",NA,NA,NA,"Bezerra, Victor Hugo Souto; Cardoso, Samuel Leite; Fonseca-Bazzo, Yris; Silveira, Damaris; Magalhaes, Perola Oliveira; Souza, Paula Monteiro",NA,Protease Produced by Endophytic Fungi: A Systematic Review,MOLECULES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silveira, Damaris/A-1942-2008; MAGALHÃES, PÉROLA/P-3378-2018; Souza, Paula/AAE-5731-2021","Silveira, Damaris/0000-0003-1851-5224; MAGALHÃES, PÉROLA/0000-0001-8011-6940; Souza, Paula/0000-0003-1824-2211; Fonseca, Yris/0000-0002-1230-3207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420-3049,NA,NA,NA,NOV,2021,26,22,NA,NA,NA,NA,NA,7062,10.3390/molecules26227062,http://dx.doi.org/10.3390/molecules26227062,NA,NA,NA,NA,NA,NA,34834154,NA,NA,NA,NA,WOS:000723631600001,View Full Record in Web of Science,6,NA
7,Presence,"The dried tuber of Alisma orientale (Sam.) Juzep. (AOJ) is a traditional Chinese medicine with high medicinal value. The endophytic fungi of medicinal plants are a treasure house of natural compounds. However, there is a lack of research on the diversity and biological activity of endophytic fungi of AOJ. In this study, high-throughput sequencing technology was used to study the diversity of endophytic fungi in the roots and stems of AOJ, and endophytic fungi with a high output of phenols and flavonoids were screened by chromogenic reaction, and the antioxidant and antibacterial activities and chemical constituents of crude extracts of their fermentation broth were studied. A total of 3,426 amplicon sequence variants (ASVs) belonging to 9 phyla, 27 classes, 64 orders, 152 families, and 277 genera were identified from AOJ. There were significant differences in the endophytic fungal communities of AOJ roots and stems, as well as in the endophytic fungal communities of triangular AOJ and circular AOJ. In addition, 31 strains of endophytic fungi were isolated from AOJ, of which 6 strains had good antioxidant and antibacterial activities. The crude extract of YG-2 had the strongest free radical scavenging ability and bacteriostatic ability, and its IC50 (DPPH), IC50 (ABTS), and IC50.OH values were 0.009 +/- 0.000 mg/mL, 0.023 +/- 0.002 mg/mL, and 0.081 +/- 0.006 mg/mL, respectively. The results of LC-MS showed that the main component of the crude extract of YG-2 was caffeic acid (10.12 mu mol/g). Overall, the results of this study preliminarily elucidated the diversity and community composition of endophytic fungi of AOJ, indicating that AOJ endophytic fungi have abundant secondary metabolites and good antioxidant and antibacterial activities. This study provides an important reference for further research, development and utilization of AOJ endophytic fungi and a theoretical basis for the further development of the endophytic fungus YG-2 (Chaetomium globosum) as a source of antioxidants.","Shen, NY; Chen, Z; Cheng, GX; Lin, WJ; Qin, YH; Xiao, YR; Chen, H; Tang, ZZ; Li, QF; Yuan, M; Bu, TL",NA,NA,NA,"Shen, Nayu; Chen, Zhao; Cheng, GuiXin; Lin, Wenjie; Qin, Yihan; Xiao, Yirong; Chen, Hui; Tang, Zizhong; Li, Qingfeng; Yuan, Ming; Bu, Tongliang",NA,"Diversity, chemical constituents and biological activities of endophytic fungi from Alisma orientale (Sam.) Juzep.",FRONTIERS IN MICROBIOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1664-302X,NA,NA,NA,45464,2023,14,NA,NA,NA,NA,NA,NA,1190624,10.3389/fmicb.2023.1190624,http://dx.doi.org/10.3389/fmicb.2023.1190624,NA,NA,NA,NA,NA,NA,37415810,NA,NA,NA,NA,WOS:001022924700001,View Full Record in Web of Science,7,NA
8,Presence,"Medicine food homology (MFH) substances not only provide essential nutrients as food but also have corre-sponding factors that can prevent and help treat nutritional imbalances, chronic disease, and other related issues. Endophytic fungi associated with plants have potential for use in drug discovery and food therapy. However, the endophytic fungal metabolites from MFH plants and their effects have been overlooked. Therefore, this review focuses on the various biological activities of 108 new metabolites isolated from 53 MFH-derived endophytic fungi. The paper explores the potential nutritional and medicinal value of metabolites of MFH-derived endo-phytic fungi for food and medical applications. This research is important for the future development of effective, safe, and nontoxic therapeutic nutraceuticals for the prevention and treatment of human diseases.","Zhang, J; Zhu, YH; Si, JP; Wu, LS",NA,NA,NA,"Zhang, Jun; Zhu, Yihui; Si, Jinping; Wu, Lingshang",NA,Metabolites of medicine food homology-derived endophytic fungi and their activities,CURRENT RESEARCH IN FOOD SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2665-9271,NA,NA,NA,NA,2022,5,NA,NA,NA,NA,1882,1896,NA,10.1016/j.crfs.2022.10.006,http://dx.doi.org/10.1016/j.crfs.2022.10.006,NA,NA,NA,NA,NA,NA,36276242,NA,NA,NA,NA,WOS:000874649400003,View Full Record in Web of Science,8,NA
9,Presence,"The endophytic fungi could be isolated from the plant host to observed. The purpose of this research is to: 1) observe the endophytic fungi location in the C. odorata plant tissue; 2) identify each endophytic fungi isolated from C. odorata leaf, twig, and flower petal; 3) analyze the secondary metabolites contents of each endophytic fungi species. The location of endophytic fungi in the plant tissue observed by microscopic observation. The endophytic fungi were isolated from the leaf, twig, and flower petal of C. odorata plant by cutted these plant parts, then inoculated on Potato Dextrose Agar (PDA) medium and incubated in 27 degrees C during 7 x 24 hours, each fungi were isolated, then the morphology and microscopic characteristic of each fungi colony isolates were described and identified. Each endophytic fungi isolates inoculated in Potato Dextrose Broth medium and shaked in 120 rpm during 7x24 hours, afterwards the secondary metabolites content were analyze using spectrophotometric method. The research result were: 1) the endophytic fungi location are on the epidermis cell wall and on the stomata guard cell wall of the leaf tissue, on the parenchymal cell wall of the twig tissue, and on the epidermis cell wall of the flower petal tissue; 2) Nine endophytic fungi species isolated from the C. odorata are: Nigrospora sphaerica, Colletotrichum alienum, Mycellia sterilia 1, C. kahawae, Rhizoctonia sp., C. aotearoa, Micellia sterilia 2, C. alatae, and C. queenslandicum. 3) the secondary metabolites contents produce by each endophytic fungi species: flavonoid (654 to 1793.13 mg.kg(-1)), tannin (29.36 to 52.21 mg.kg(-1)), saponin (2.31 to 3.35 mg.kg(-1)), alkaloid (23.05 to 40.28 mg.kg(-1)), and terpenoid (85.53 to 155.48 mg.kg(-1)).","Hastuti, US; Rahmawati, D; Sari, RY",NA,NA,IOP,"Hastuti, Utami Sri; Rahmawati, Dwi; Sari, Ria Yustika",NA,"Histologic Observation, Identification and Secondary Metabolites Analysis of Endophytic Fungi Isolated from Cananga odorata (Lam.) Hook. F. & Thomson",9TH ANNUAL BASIC SCIENCE INTERNATIONAL CONFERENCE 2019 (BASIC 2019),IOP Conference Series-Materials Science and Engineering,NA,NA,NA,9th Annual Basic Science International Conference (BaSIC) - Recent Advances in Basic Sciences Toward 4.0 Industrial Revolution,"MAR 20-21, 2019","Brawijaya Univ, Malang, INDONESIA","Brawijaya Univ, Fac Math & Nat Sci",Brawijaya Univ,NA,NA,NA,NA,NA,NA,NA,"Hastuti, Utami Sri/0000-0001-8790-6435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1757-8981,NA,NA,NA,NA,NA,2019,546,NA,NA,NA,NA,NA,NA,22005,10.1088/1757-899X/546/2/022005,http://dx.doi.org/10.1088/1757-899X/546/2/022005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000495439000005,View Full Record in Web of Science,9,NA
10,Review,"Endophytic fungi have attracted increasing attention as an under-explored source for the discovery and development of structurally and functionally diverse secondary metabolites. These microorganisms colonize their hosts, primarily plants, and demonstrate diverse ecological distribution. Among endophytic fungal natural products, sulfur-containing compounds feature one or more sulfur atoms and possess a range of bioactivities, e.g., cytotoxicity and antimicrobial activities. These natural products mainly belong to the classes of polyketides, nonribosomal peptides, terpenoids, and hybrids. Here, we reviewed the fungal producers, plant sources, chemical structures, and bioactivities of 143 new sulfur-containing compounds that were reported from 1985 to March 2022.","Fan, YQ; Ma, ZH; Zhang, Y; Wang, YF; Ding, YS; Wang, C; Cao, SG",NA,NA,NA,"Fan, Yaqin; Ma, Zhiheng; Zhang, Yan; Wang, Yufei; Ding, Yousong; Wang, Cong; Cao, Shugeng",NA,"Sulfur-Containing Compounds from Endophytic Fungi: Sources, Structures and Bioactivities",JOURNAL OF FUNGI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cao, Shugeng/0000-0001-6684-8221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2309-608X,NA,NA,NA,JUN,2022,8,6,NA,NA,NA,NA,NA,628,10.3390/jof8060628,http://dx.doi.org/10.3390/jof8060628,NA,NA,NA,NA,NA,NA,35736111,NA,NA,NA,NA,WOS:000818129400001,View Full Record in Web of Science,10,NA
